City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Havelock,US,88.05,overcast clouds,34.8791,-76.9013,Sherwood Motel
1,Hithadhoo,MV,81.54,few clouds,-0.6,73.0833,Scoop Guest House
2,Bethel,US,73.85,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
3,Hami,CN,79.72,clear sky,42.8,93.45,Laoyutang Resort
4,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
8,Salalah,OM,78.87,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
10,Acarau,BR,79.74,scattered clouds,-2.8856,-40.12,castelo pizzaria
11,Rikitea,PF,74.1,clear sky,-23.1203,-134.9692,People ThankYou
12,Albany,US,79.18,overcast clouds,42.6001,-73.9662,
13,Nouadhibou,MR,73.38,scattered clouds,20.931,-17.0347,El Medina
14,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
15,Phan Thiet,VN,77.22,broken clouds,10.9333,108.1,Hotel Saigon-PT
17,Kendari,ID,73.76,overcast clouds,-3.945,122.4989,Hotel Wixel
18,Yellowknife,CA,73.92,few clouds,62.456,-114.3525,The Explorer Hotel
23,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Sorong,ID,79.7,scattered clouds,-0.8833,131.25,waigo splash hotel
28,Hilo,US,81.81,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Atuona,PF,77.95,clear sky,-9.8,-139.0333,Villa Enata
33,Bengkulu,ID,76.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Marathon,US,81.99,scattered clouds,44.9,-89.7668,
43,Jamestown,US,85.59,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
49,Butaritari,KI,83.39,broken clouds,3.0707,172.7902,Isles Sunset Lodge
50,Hearst,CA,80.85,overcast clouds,49.6835,-83.6665,Companion
51,Kahta,TR,87.17,clear sky,37.7855,38.6237,Kommagene Hotel
52,Kavaratti,IN,82.9,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Nago,JP,82.56,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
56,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
60,Caravelas,BR,71.94,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
63,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
71,Portland,US,89.64,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
72,Demir Kapija,MK,79.02,clear sky,41.405,22.2489,Rock Land Camp
