City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Havelock,US,34.8791,-76.9013,88.05,80,100,5.01,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,81.54,73,12,4.25,few clouds
2,Bethel,US,41.3712,-73.414,73.85,89,91,7.85,overcast clouds
3,Hami,CN,42.8,93.45,79.72,22,0,4.92,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,50,9.84,scattered clouds
5,Cidreira,BR,-30.1811,-50.2056,65.84,76,100,2.66,overcast clouds
6,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,80,54,8.7,broken clouds
7,Ushuaia,AR,-54.8,-68.3,35.26,80,75,6.91,broken clouds
8,Salalah,OM,17.0151,54.0924,78.87,88,100,5.12,overcast clouds
9,Bluff,NZ,-46.6,168.3333,42.76,80,97,17.54,overcast clouds
10,Acarau,BR,-2.8856,-40.12,79.74,74,35,15.19,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,74.1,73,6,13.71,clear sky
12,Albany,US,42.6001,-73.9662,79.18,83,98,11.56,overcast clouds
13,Nouadhibou,MR,20.931,-17.0347,73.38,83,36,16.11,scattered clouds
14,La Ronge,CA,55.1001,-105.2842,71.85,37,40,4.61,scattered clouds
15,Phan Thiet,VN,10.9333,108.1,77.22,90,66,3.09,broken clouds
16,Andenes,NO,69.3143,16.1194,53.08,93,75,8.05,drizzle
17,Kendari,ID,-3.945,122.4989,73.76,95,100,3.94,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,73.92,40,20,1.01,few clouds
19,Longyearbyen,SJ,78.2186,15.6401,40.84,87,75,10.36,broken clouds
20,Mataura,NZ,-46.1927,168.8643,32.58,88,60,4.7,light snow
21,Hermanus,ZA,-34.4187,19.2345,47.89,73,43,8.99,scattered clouds
22,Port Alfred,ZA,-33.5906,26.891,52.36,71,100,21.03,light rain
23,Kapaa,US,22.0752,-159.319,84.18,80,20,1.99,moderate rain
24,Ostrovnoy,RU,68.0531,39.5131,47.97,92,75,2.73,broken clouds
25,Busselton,AU,-33.65,115.3333,49.05,81,42,15.59,scattered clouds
26,Sorong,ID,-0.8833,131.25,79.7,83,34,5.7,scattered clouds
27,Qaanaaq,GL,77.484,-69.3632,41.2,80,100,8.39,overcast clouds
28,Hilo,US,19.7297,-155.09,81.81,83,55,3.0,light rain
29,Eureka,US,40.8021,-124.1637,67.12,76,31,5.99,scattered clouds
30,Khatanga,RU,71.9667,102.5,38.98,80,100,16.37,overcast clouds
31,Hobart,AU,-42.8794,147.3294,48.11,93,75,0.0,broken clouds
32,Atuona,PF,-9.8,-139.0333,77.95,66,3,22.59,clear sky
33,Bengkulu,ID,-3.8004,102.2655,76.51,65,100,7.29,overcast clouds
34,Thompson,CA,55.7435,-97.8558,69.96,37,40,8.05,scattered clouds
35,Cabo San Lucas,MX,22.8909,-109.9124,92.52,68,84,6.46,broken clouds
36,Upernavik,GL,72.7868,-56.1549,41.0,90,100,3.09,moderate rain
37,Kirensk,RU,57.7853,108.1119,60.13,70,100,4.25,overcast clouds
38,Marathon,US,44.9,-89.7668,81.99,55,40,1.01,scattered clouds
39,Okhotsk,RU,59.3833,143.3,54.54,98,100,8.99,heavy intensity rain
40,Roald,NO,62.5833,6.1333,66.25,88,20,12.66,few clouds
41,Balykshi,KZ,47.0667,51.8667,69.8,30,0,6.71,clear sky
42,Arona,ES,28.0996,-16.681,69.82,69,0,18.41,clear sky
43,Jamestown,US,42.097,-79.2353,85.59,67,40,17.0,light rain
44,Tasiilaq,GL,65.6145,-37.6368,40.19,92,82,5.73,broken clouds
45,Houston,US,29.7633,-95.3633,93.4,62,75,5.75,thunderstorm
46,Punta Arenas,CL,-53.15,-70.9167,39.22,75,0,6.91,clear sky
47,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,75,17.27,broken clouds
48,Penzance,GB,50.1186,-5.5371,61.48,93,9,11.68,clear sky
49,Butaritari,KI,3.0707,172.7902,83.39,74,55,12.3,broken clouds
50,Hearst,CA,49.6835,-83.6665,80.85,47,96,9.95,overcast clouds
51,Kahta,TR,37.7855,38.6237,87.17,28,0,6.93,clear sky
52,Kavaratti,IN,10.5669,72.642,82.9,81,100,20.2,overcast clouds
53,Diego De Almagro,CL,-26.3667,-70.05,68.68,32,7,7.27,clear sky
54,Karratha,AU,-20.7377,116.8463,69.19,65,62,8.16,broken clouds
55,Nago,JP,26.5881,127.9761,82.56,86,100,8.19,overcast clouds
56,Vaini,TO,-21.2,-175.2,77.16,88,75,4.61,broken clouds
57,Chernyshevskiy,RU,63.0128,112.4714,58.41,84,0,2.48,clear sky
