City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-07-13 20:42:36,-23.1203,-134.9692,74.1,73,6,13.71
1,Ushuaia,AR,2021-07-13 20:42:37,-54.8,-68.3,35.26,80,75,6.91
2,Broken Hill,AU,2021-07-13 20:42:37,-31.95,141.4333,60.51,41,40,14.97
3,Busselton,AU,2021-07-13 20:42:37,-33.65,115.3333,49.05,81,42,15.59
4,Shache,CN,2021-07-13 20:42:38,38.4167,77.2406,76.73,32,100,7.34
5,Yellowknife,CA,2021-07-13 20:42:38,62.456,-114.3525,74.28,40,20,1.99
6,Sur,OM,2021-07-13 20:37:47,22.5667,59.5289,85.17,73,100,11.1
7,Castro,BR,2021-07-13 20:42:39,-24.7911,-50.0119,58.46,65,14,2.57
8,Esterhazy,CA,2021-07-13 20:42:39,50.65,-102.0843,81.45,38,42,4.56
9,Udachnyy,RU,2021-07-13 20:42:39,66.4167,112.4,52.18,87,98,13.18
10,Avarua,CK,2021-07-13 20:42:40,-21.2078,-159.775,78.85,69,40,10.36
11,Atuona,PF,2021-07-13 20:42:40,-9.8,-139.0333,77.95,66,3,22.59
12,Victoria,HK,2021-07-13 20:39:49,22.2855,114.1577,86.32,81,59,1.01
13,Ribeira Grande,PT,2021-07-13 20:42:41,38.5167,-28.7,72.0,78,40,16.11
14,Bengkulu,ID,2021-07-13 20:42:41,-3.8004,102.2655,76.51,65,100,7.29
15,Sao Filipe,CV,2021-07-13 20:42:42,14.8961,-24.4956,73.83,84,100,3.89
16,Puerto Ayora,EC,2021-07-13 20:42:42,-0.7393,-90.3518,80.56,81,50,9.84
17,Souillac,MU,2021-07-13 20:42:43,-20.5167,57.5167,70.18,64,40,11.5
18,Vestmanna,FO,2021-07-13 20:42:43,62.1564,-7.1664,49.12,100,90,10.36
19,Murzzuschlag,AT,2021-07-13 20:42:43,47.6,15.6833,72.86,67,76,3.76
20,Barra Patuca,HN,2021-07-13 20:42:44,15.8,-84.2833,81.18,87,100,13.6
21,Deputatskiy,RU,2021-07-13 20:42:44,69.3,139.9,50.2,71,100,3.98
22,Hasaki,JP,2021-07-13 20:42:45,35.7333,140.8333,72.28,87,97,12.8
23,Meulaboh,ID,2021-07-13 20:42:45,4.1363,96.1285,76.21,86,100,4.29
24,Atar,MR,2021-07-13 20:42:46,20.5169,-13.0499,99.43,16,67,7.14
25,Fortuna,US,2021-07-13 20:42:46,40.5982,-124.1573,97.48,88,90,14.97
26,Ranikhet,IN,2021-07-13 20:42:47,29.65,79.4167,63.5,81,100,3.47
27,Saint George,US,2021-07-13 20:42:47,37.1041,-113.5841,105.8,21,1,1.99
28,Naze,JP,2021-07-13 20:42:47,28.3667,129.4833,78.39,85,100,5.68
29,Kapaa,US,2021-07-13 20:38:03,22.0752,-159.319,82.72,78,75,3.0
30,Daniel Flores,CR,2021-07-13 20:42:48,9.3355,-83.6694,83.77,85,99,2.06
31,Carnarvon,AU,2021-07-13 20:42:48,-24.8667,113.6333,59.07,60,75,4.61
32,Kodiak,US,2021-07-13 20:42:49,57.79,-152.4072,54.91,88,90,9.22
